央视, #genre#
CCTV-1 综合,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-2 财经,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-3 综艺,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-4 中文国际,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-5 体育,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-6 电影,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-7 国防军事,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-8 电视剧,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-9 记录,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-10 科教,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-11 戏曲,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-12 社会与法,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-13 新闻,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-14 少儿,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-15 音乐,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-16 奥林匹克,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-17 农业农村,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV-5+ 体育赛事,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
CCTV高尔夫网球,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕4K,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
纯享4K,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&

卫视, #genre#
安徽卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北京卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北京冬奥纪实,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
北京卡酷少儿,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
重庆卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
东方卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
东南卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
甘肃卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
广东卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
广东嘉佳卡通,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
广东珠江卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
广东大湾区卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
广西卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
贵州卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
海南卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
河北卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
河南卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
黑龙江卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
湖北卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
湖南卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
湖南金鹰纪实,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
湖南金鹰卡通,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
吉林卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
江苏卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
江苏优漫卡通,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
江西卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
辽宁卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
内蒙古卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
宁夏卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
青海卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
山东卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
山东教育卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
山西卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
陕西卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
上海哈哈炫动,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
上海纪实人文,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
深圳卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
四川卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
天津卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
西藏藏语卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
西藏卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
厦门卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
新疆兵团卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
新疆卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
云南卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
浙江卫视,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&

数字, #genre#
NewTV中国功夫,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV军事评论,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV军旅剧场,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV农业致富,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV动作电影,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV古装剧场,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV家庭剧场,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV怡伴健康,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV惊悚悬疑,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV明星大片,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV武搏世界,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV海外剧场,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV潮妈辣婆,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV炫舞未来,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV爱情喜剧,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV精品体育,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV精品大剧,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV精品纪录,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
NewTV金牌综艺,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
黑莓动画,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
黑莓电影,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
哒啵赛事,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
咪咕视频,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&

地方, #genre#
直播南宁国际会展中心,http://cdnrrs.gx.chinamobile.com ... m3u8?servicetype=1&
